file_name;line_start;line_end;description;cwe
J18757;40;40;Do not use hard coded encryption keys;CWE-321
J18757;82;82;Do not use hard coded encryption keys;CWE-321
J18759;39;39;Do not use hard coded encryption keys;CWE-321
J18759;85;85;Do not use hard coded encryption keys;CWE-321
J18759;139;139;Do not use hard coded encryption keys;CWE-321
J18759;187;187;Do not use hard coded encryption keys;CWE-321
J18761;39;39;Do not use hard coded encryption keys;CWE-321
J18761;85;85;Do not use hard coded encryption keys;CWE-321
J18761;139;139;Do not use hard coded encryption keys;CWE-321
J18761;187;187;Do not use hard coded encryption keys;CWE-321
J18765;41;41;Do not use hard coded encryption keys;CWE-321
J18765;87;87;Do not use hard coded encryption keys;CWE-321
J18765;141;141;Do not use hard coded encryption keys;CWE-321
J18765;189;189;Do not use hard coded encryption keys;CWE-321
J18767;40;40;Do not use hard coded encryption keys;CWE-321
J18767;86;86;Do not use hard coded encryption keys;CWE-321
J18767;140;140;Do not use hard coded encryption keys;CWE-321
J18767;188;188;Do not use hard coded encryption keys;CWE-321
J18771;45;45;Do not use hard coded encryption keys;CWE-321
J18771;91;91;Do not use hard coded encryption keys;CWE-321
J18771;145;145;Do not use hard coded encryption keys;CWE-321
J18771;193;193;Do not use hard coded encryption keys;CWE-321
J18773;39;39;Do not use hard coded encryption keys;CWE-321
J18773;85;85;Do not use hard coded encryption keys;CWE-321
J18773;139;139;Do not use hard coded encryption keys;CWE-321
J18773;187;187;Do not use hard coded encryption keys;CWE-321
J18775;39;39;Do not use hard coded encryption keys;CWE-321
J18775;85;85;Do not use hard coded encryption keys;CWE-321
J18775;139;139;Do not use hard coded encryption keys;CWE-321
J18775;187;187;Do not use hard coded encryption keys;CWE-321
J18781;39;39;Do not use hard coded encryption keys;CWE-321
J18781;85;85;Do not use hard coded encryption keys;CWE-321
J18781;139;139;Do not use hard coded encryption keys;CWE-321
J18781;187;187;Do not use hard coded encryption keys;CWE-321
J18783;39;39;Do not use hard coded encryption keys;CWE-321
J18783;85;85;Do not use hard coded encryption keys;CWE-321
J18783;139;139;Do not use hard coded encryption keys;CWE-321
J18783;187;187;Do not use hard coded encryption keys;CWE-321
J18785;41;41;Do not use hard coded encryption keys;CWE-321
J18785;94;94;Do not use hard coded encryption keys;CWE-321
J18785;160;160;Do not use hard coded encryption keys;CWE-321
J18785;213;213;Do not use hard coded encryption keys;CWE-321
J18789;36;36;Do not use hard coded encryption keys;CWE-321
J18789;81;81;Do not use hard coded encryption keys;CWE-321
J18791;52;52;Do not use hard coded encryption keys;CWE-321
J18791;100;100;Do not use hard coded encryption keys;CWE-321
J18791;143;143;Do not use hard coded encryption keys;CWE-321
J18793;42;42;Do not use hard coded encryption keys;CWE-321
J18793;95;95;Do not use hard coded encryption keys;CWE-321
J18795;56;56;Do not use hard coded encryption keys;CWE-321
J18795;66;66;Do not use hard coded encryption keys;CWE-321
J18796;75;75;Do not use hard coded encryption keys;CWE-321
J18797;58;58;Do not use hard coded encryption keys;CWE-321
J18797;108;108;Do not use hard coded encryption keys;CWE-321
J18799;60;60;Do not use hard coded encryption keys;CWE-321
J18799;72;72;Do not use hard coded encryption keys;CWE-321
J18234;53;53;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18235;16;16;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18235;70;70;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18368;14;14;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18369;12;12;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18369;66;66;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18452;18;18;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18453;10;10;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18453;64;64;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18458;19;19;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18459;11;11;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18459;65;65;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18584;61;61;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18585;15;15;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18585;69;69;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18588;63;63;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18589;17;17;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18589;71;71;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18596;61;61;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18597;15;15;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18597;69;69;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18604;61;61;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18605;15;15;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18605;69;69;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18630;36;36;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18631;15;15;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18631;69;69;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18670;12;12;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18671;10;10;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18671;64;64;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18686;12;12;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18687;10;10;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18687;64;64;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18702;62;62;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18702;71;71;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18702;82;82;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18703;13;13;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18703;75;75;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18703;135;135;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18736;44;44;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18737;15;15;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18737;69;69;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18758;36;36;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18759;17;17;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18759;91;91;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18759;132;132;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18759;182;182;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18760;36;36;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18761;17;17;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18761;91;91;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
J18761;132;132;Assigning an Object to null is a code smell.  Consider refactoring.;CWE-476
